#This dataset contains all Airdisasters from the past 20 years;;;;;;;;;;;;;;;;;
date;type;registration;operator;location;first_flight;crew;passengers;aircraft_damage;phase;nature;departure_airport;destination_airport;narrative;time;airplane_type;airline;accident_date
6-feb-10;Dassault Falcon 900EX;N106RW;MMRB Services;Washington-D...;2003;Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Standing (STD);-;-;-;"Heavy snowfall in the Washington region caused hangars of the Dulles Jet Center (DJC) at Washington-Dulles International Airport, DC (IAD) to collapse. The roofs of hangars A, B, and C came down, crumpling under the weight of nearly two feet of snow. Hangar D was damaged, but all four planes inside were safe.
The 15 aircraft in Hangars A, B and C sustained various levels of damage.
Aircraft that are reported to have been inside the hangars were:

N400GX Global Express (9037) of Churchill Aviation [cancelled from U.S. register 15 June 2010]
N62YC Falcon 2000EX (119) of Vesey Air LLC [cancelled from U.S. register 20 May 2010]
N106RW Falcon 900EX (120) of MMRB Services [cancelled from U.S. register 28 Sept. 2010]
N800LA Hawker 800XP (258679) of BAE Survivability Systems LLC [cancelled from U.S. register 15 Nov 2010]
N109CP Beechjet 400A (RK-47) of THV Seminars LLC [sold 10 Dec. 2010 to be parted out]
N708FX Cessna 208B Super Cargomaster of FedEx [cancelled from U.S. register 13 Dec 2010]
N620K Global Express (9052) of Eastman Kodak [sold by Global Aerospace Insurance as salvage in January 2011]
N528JR Global XRS (9177) of Joluk Air [sold to Davis SR Aviation LLC for scrap in March 2013; broken up by April 2013]
N52AP Gulfstream GIV (1476) Computer Sciences Corp.
N89MX Global XRS (9304) of '821 393 LLC'
N585JC Gulfstream GV (618) Hilton Hotels
N180EG Hawker 800A (258188) of Monroe LLC 
N767DT Gulfstream G450 (4065) of MIC Industries LLC 
N4009 Learjet 45 (304) of Red Zone LLC 
unknown Cessna 414";08:00;Dassault Falcon 900EX;MMRB Services;Saturday 6 February 2010
27-MAR-2014;Beech B200 Super King Air;VT-HRA;State of Haryana Government;Chandigarh A...;2005;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 8;Substantial;Takeoff (TOF);Executive;Chandigarh Airport (IXC/VICG), India;Delhi-Safdarjung Airport (VIDD), India;"A Beechcraft B200 Super King Air operated by the Indian State of Haryana Government sustained substantial damage in a takeoff accident. All ten occupants survived the accident.
The aircraft was used to fly the Governor of Haryana from Chandigarh to Delhi. In addition to the pilot and co-pilot there were 8 passengers. The baggage on board was approx. 50 lbs. There was 2100 lbs. of fuel on board. After boarding of the passengers, the aircraft engines were started at 11:30 hrs. The aircraft taxied out via taxiway D. After ATC departure clearance the aircraft was lined up for take-off. On clearance from ATC the take off roll was initiated and all the parameters were found normal. The rotation was initiated at 98 knots and the aircraft climbed to 10-15 feet AGL. The commander has stated that after lift-off, immediately the left rudder got locked in the forward position resulting in the aircraft yawing and rolling to left. The pilots tried to control it with right bank but the aircraft could not be controlled. Within 3-4 seconds of getting airborne the aircraft impacted the ground in a left bank attitude. The initial impact was on pucca (tar road) and the wing took the first impact loads. After the aircraft came to final halt, the co-pilot opened the door and evacuation was carried out. There was no injury to any of the occupants.";11:39;Beechcraft B200 Super King Air;State of Haryana Government;Thursday 27 March 2014
1-feb-01;Antonov An-26;T-224;Angolan AF;Luena Airpor...;;Fatalities: 0 / Occupants: 5;Fatalities: 0 / Occupants: 17;Damaged beyond repair;Landing (LDG);Military;Luau Airport (UAL/FNUA), Angola;Luena Airport (LUO/FNUE), Angola;Crashed and burst into flames on landing. The UNITA claimed responsibility and said all 22 on board were killed in the accident. Officials sources deny these claims and say the Antonov skidded off the runway following engine problems and stated that 10 occupants were injured.;null;Antonov 26;Força Aérea Popular de Angola;Thursday 1 February 2001
17-jul-17;Beech B200 Super King Air;LV-ZTV;Aero Baires;San Carlos d...;2000;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 0;Substantial;Landing (LDG);Private;Neuquén Airport, NE (NQN/SAZN), Argentina;San Carlos de Bariloche International Airport, RN (BRC/SAZS), Argentina;"A Beechcraft B200 Super King Air suffered substantial damage in a landing accident at San Carlos de Bariloche International Airport in Argentina.
The aircraft landed in night time conditions and impacted a snow bank at the edge of the runway. The nose landing gear collapsed, causing the nose and both propellers to impact the runway.
Weather at the time of the accident was poor with low clouds at 200 feet and a visibility of 1 to 3 km.";05:54;Beechcraft B200 Super King Air;Aero Baires;Monday 17 July 2017
24-MAR-2006;Convair CV-580F;ZS-SKI;Skyhaul, op.for LAC - SkyCongo;Kinshasa-N'D...;1953;Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Substantial;Standing (STD);Unknown;?;?;"Reportedly sustained damage when it was struck by an Antonov 26. The An-26 was blown into the Convair during a thunderstorm at Kinshasa-N'Djili Airport (FIH).
ZS-SKI was withdrawn from use and was still stored at Kinshasa as of 2009.";null;Convair CV-580F;null;Friday 24 March 2006
07-MAR-2005;Airbus A310-304ET;F-OJHH;Mahan Air;Tehran-Mehra...;1991-03-29  (14 years);Fatalities: 0 / Occupants: 14;Fatalities: 0 / Occupants: 77;Substantial;Landing (LDG);International Scheduled Passenger;Bangkok-Don Muang International Airport (BKK/VTBD), Thailand;Tehran-Mehrabad Airport (THR/OIII), Iran;"The crew executed an approach in manual mode with the co-pilot flying the airplane. The airplane landed normally on runway 29L at Tehran-Mehrabad. After compression of the main struts of the landing gear, the spoilers were extended. At the same time the reverser on the left engine was brought to maximum mode. The reverse thrust lever of the right engine was not used since the reverser was deactivated. After deceleration to a speed of 80 knots the reverse thrust lever of the left engine was brought to the intermediate position between maximum and minimum reverse thrust. As this was happening the throttle control lever of the right engine was brought from idle to the position of ~55 degrees according to FDR data. Further movement of the reverse thrust lever of the right engine was accompanied by the simultaneous shifting of the throttle control lever of the left engine practically as far as the nominal mode. 
At this moment the airplane captain interfered in the control, shifted the throttle control lever of the right engine to idle and again activated maximum reverse of the left engine. However, in spite of the actions taken, the airplane overshot the runway at a speed of about 40 knots.";02:20;Airbus A310-304ET;Mahan Air;Monday 7 March 2005
2-jun-14;Beech B200 Super King Air;PNC-0225;Colombian Police;near Bahía Solano...;1998;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Damaged beyond repair;Initial climb (ICL);Military;Bahía Solano-José Celestino Mutis Airport (BSC/SKBS), Colombia;?;"A Beechcraft B200 Super King Air sustained substantial damage in a forced landing in a field near Bahía Solano, Colombia. The three occupants were injured.
The airplane had just taken off from Bahía Solano Airport when it lost engine power. A gear up landing was carried out in a field, causing substantial damage to the engines and fuselage.";ca 17:00;Beechcraft B200 Super King Air;Servicio Aéreo de Policia;Monday 2 June 2014
2-jan-17;Hawker 800XP;N910JD;Pinnacle Air Charter;Scottsdale A...;1999;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 0;Substantial;Landing (LDG);Private;Tucson International Airport, AZ (TUS/KTUS), United States of America;Scottsdale Airport, AZ (SCF/KSDL), United States of America;"A Hawker 800XP, N910JD sustained substantial damage when the nose landing gear collapsed during a landing roll at Scottsdale Airport (SDL), Arizona. The two pilots were not injured. The airplane was registered to Zoom Aviation, LLC, and operated by Pinnacle Air Charter, LLC. Visual meteorological conditions prevailed for the flight, which operated on an instrument rules flight plan. The flight originated from Tucson International Airport, Arizona at 15:32.
The pilot reported that, during the approach to Scottsdale, the nose landing gear light was red, which indicated that it was not down and locked. In order to assess the situation, the pilot exited the traffic pattern, and referred to the emergency checklist. After using the hand pump to lower the landing gear manually, the red light still indicated that the gear was up. The pilot asked the tower for a landing gear check and the tower replied that it appeared it was down and straight. The pilot executed a normal landing, and as the airplane started to slow down, about 35-40 knots, the nose gear collapsed. The airplane came to rest about 50 yards down the runway from the location where the nosegear collapsed.";16:43;Hawker 800XP;Pinnacle Air Charter;Monday 2 January 2017
9-jul-04;Antonov An-2SX;RA-02230;Kostroma Air Enterprise;Yaroslavl Ai...;1988;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 0;Substantial;Takeoff (TOF);Agricultural;Yaroslavl-Tunoshna Airport (IAR/UUDL), Russia;Yaroslavl-Tunoshna Airport (IAR/UUDL), Russia;"The Antonov was used to spray crops in the Yaroslav area. The airplane had already carried out 15 flights that day when it was serviced. Ground personnel added 1200 kg of liquid toxic chemicals for the next flight. Takeoff was commenced with flaps at 20 degrees. The aircraft took off at a speed of 90-100 km/h
but could not gain height. The airplane contacted an embankment located 572 meters past the runway and crashed. It appeared that the fuel filter was blocked, most probably by the chemical fertilizers, which fell in the fuel during the servicing of the aircraft. It was also established that a certain kind of oil was used in the engine's oil system which was not intended for the PZL Kalisz (Shvetsov) ASz-62IR engine.";null;Antonov 2SX;Kostroma Air Enterprise;Friday 9 July 2004
5-jan-01;Boeing 727-46F;S9-BAI;Air Gemini Cargo;Dundo Airpor...;1969-01-22  (32 years);Fatalities: 0 / Occupants: 4;Fatalities: 0 / Occupants: 6;Damaged beyond repair;Landing (LDG);Cargo;Luanda-4 de Fevereiro Airport (LAD/FNLU), Angola;Dundo Airport (DUE/FNDU), Angola;"The cargo plane approached Dundo in favourable weather conditions. The airplane touched down just short of the runway. The right main landing gear collapsed after striking the raised lip of the runway. The Boeing 727 continued onto the runway and deviated to the right; it slid off the runway onto an area covered with high grass and bushes. Then the other landing gear legs collapsed. In the mishap a man was killed who had stopped to relieve himself close to runway.";null;Boeing 727-46F;Air Gemini Cargo;Friday 5 January 2001
09-MAR-2012;Beech 100 King Air;N70JL;Southern Air Charter;Deadman's Ca...;1971;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Damaged beyond repair;Landing (LDG);Passenger;Nassau-Lynden Pindling International Airport (NAS/MYNN), Bahamas;Deadman's Cay Airport (LGI/MYLD), Bahamas;"A Beechcraft 100 King Air suffered a landing gear failure at Deadman's Cay Airport (LGI), Long Island and ended up in a bush at the end of the runway. 
Nobody onboard was injured.";14:10;Beechcraft 100 King Air;Southern Air Charter;Friday 9 March 2012
13-jul-12;Gulfstream G-IV;N823GA;Universal Jet Aviation;Le Castellet...;1987;Fatalities: 3 / Occupants: 3;Fatalities: 0 / Occupants: 0;Destroyed;Landing (LDG);Ferry/positioning;Nice-Côte d'Azur Airport (NCE/LFMN), France;Le Castellet Airport (CTT/LFMQ), France;"A Gulfstream G-IV corporate jet, N823GA, was destroyed when it crashed at Le Castellet Airport (CTT), France. All three occupants were killed.
Te aircraft initially arrived at Nice-Côte d'Azur Airport (NCE) following a flight from Istanbul-Sabiha Gökçen International Airport, Turkey. Three passengers deplaned at Nice. Since the parking area at Nice was full, the airplane was to be ferried to Le Castellet. 
Takeoff was accomplished at 14:56 hours local time and the aircraft climbed to FL160 for a short flight to Le Castellet.
At the destination, the crew was cleared to perform a visual approach to runway 13. The autopilot and the auto-throttle were disengaged, the gear was down and the flaps in the landing position. The GND SPOILER UNARM message, indicating nonarming of the ground spoilers, was displayed on the EICAS and the associated single chime aural warning was triggered. This message remained displayed on the EICAS until the end of the flight since the crew forgot to arm the ground spoilers during the approach. 
At a height of 25 ft, while the aircraft was flying over the runway threshold slightly below the theoretical descent path, a SINK RATE warning was triggered. The pilot flying corrected the flight path and the touchdown of the main landing gear took place 15 metres after the touchdown zone, which is 365 metres from the threshold, and slightly left of the centre line of runway 13. The ground spoilers, not armed, did not automatically deploy. The crew braked and actuated the deployment of the thrust reversers, which did not deploy completely. The hydraulic pressure available at brake level slightly increased. The deceleration of the aeroplane was slow. 
Four seconds after touchdown, a MASTER WARNING was triggered. A second MASTER WARNING was generated five seconds later.
The nose landing gear touched down for the first time 785 metres beyond the threshold before the aeroplane's pitch attitude increased again, causing a loss of contact of the nose gear with the ground. The aircraft crossed the runway centre line to the right, the crew correcting this by a slight input on the rudder pedals to the left. They applied a strong nose-down input and the nose gear touched down on the runway a second time, 1050 metres beyond the threshold.
The speedbrakes were then manually actuated by the crew with an input on the speed brake control, which then deployed the panels. Maximum thrust from the thrust reversers was reached one second later. The aircraft at this time was 655 metres from the runway end and its path began to curve to the left. In response to this deviation, the crew made a sharp input on the right rudder pedal, to the stop, and an input on the right brake, but failed to correct the trajectory. The aeroplane, skidding to the right, ran off the runway to the left 385 metres from the runway end at a ground speed of approximately 95 knots.
It struck a runway edge light, the PAPI of runway 31, a metal fence then trees and caught fire instantly.
An aerodrome firefighter responded quickly onsite but did not succeed in bringing the fire under control.";15:18;Gulfstream G-IV;Universal Jet Aviation;Friday 13 July 2012
30-apr-02;Antonov An-12;ST-AQP;Aerovista Airlines;Heglig;1964;Fatalities: 0 / Occupants: 4;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Approach (APR);Cargo;Khartoum-Civil Airport (KRT/HSSS), Sudan;Heglig Airport (HSHG), Sudan;The Antonov was approaching Heglig. When descending through a height of 60 ft a flock of birds rose from the right hand side of the plane. The no. 4 engine failed and the airplane yawed to that side. It descended and undershot the runway. The right main undercarriage was torn off.;null;Antonov 12;Aerovista Airlines;Tuesday 30 April 2002
20-MAY-2005;Dassault Falcon 20C;RA-09007;Jet 2000;Moskva-Shere...;1968;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Damaged beyond repair;Landing (LDG);Unknown;?;?;Emergency landing after encountering engine problems. The airplane went off the runway, sustaining substantial damage.;null;Dassault Falcon 20C;Jet 2000;Friday 20 May 2005
28-MAR-2014;Lockheed C-130J-30 Super Hercules;KC-3803;Indian AF;Karauli dist...;2011;Fatalities: 5 / Occupants: 5;Fatalities: 0 / Occupants: 0;Destroyed;En route (ENR);Military;Agra-Kheria Air Force Station (AGR/VIAG), India;Gwalior Airport (GWL/VIGR), India;"An Indian Air Force Lockheed C-130J Hercules has crashed 72 miles from Gwalior in Madhya Pradesh. All five crew members died in the accident.
The transport plane was part of a two-ship formation on a training mission out of Agra where it departed at 10:00 local time. Both aircraft descended to 300 feet altitude for a simulated drop. Preliminary findings suggest that KC-3803 hit the wake turbulence of the lead aircraft that was climbing to 1000 feet following the simulated drop.
The airplane probably stalled after it hit the wake turbulence with the crew unable to recover at low altitude.";null;Lockheed C-130J-30 Super Hercules;Indian Air Force - IAF;Friday 28 March 2014
15-jan-06;Cessna 550 Citation S/II;N460M;Security Aviation Inc.;Anchorage-Te...;1985;Fatalities: 0 / Occupants: 4;Fatalities: 0 / Occupants: 1;Substantial;Taxi (TXI);Ambulance;Fairbanks International Airport, AK (FAI/PAFA), United States of America;Anchorage-Ted Stevens International Airport, AK (ANC/PANC), United States of America;"A Cessna 550 Citation S/II airplane, N460M, sustained substantial damage when it was struck by a snowplow vehicle as the airplane was taxiing from landing at the Anchorage-Ted Stevens International Airport, Alaska, USA.
The airplane crew were taxiing onto the operator's hangar ramp after landing. The airplane was being directed by company ground personnel utilizing marshalling wands. A private snowplow vehicle was clearing an adjacent ramp area to the south of the operator's hangar apron. While maneuvering the plow truck, the driver began backing up and collided with the left wingtip of the accident airplane. The airplane received structural damage to the left wing and left aileron.";14:50;Cessna 550 Citation S/II;Security Aviation Inc.;Sunday 15 January 2006
25-apr-14;Antonov An-2;UR-ABAB;private;Kramatorsk A...;1969;Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Standing (STD);-;-;-;"Separatist fired shells at the Kramatorsk Airport (KRQ), Ukraine. In the attack one Mi-8 helicopter and an Antonov 2 airplane were destroyed.
It is unclear if the An-2 suffered a direct hit or if it was struck by burning debris from the Mi-8.";null;Antonov 2;private;Friday 25 April 2014
14-feb-11;Let L-410UVP;9Q-CIF;African Air Services Commuter;Mont Biega;1983;Fatalities: 2 / Occupants: 2;Fatalities: 0 / Occupants: 0;Damaged beyond repair;En route (ENR);Cargo;Bukavu-Kavumu Airport (BKY/FZMA), Congo (Democratic Republic);Lusenge Airfield, Congo (Democratic Republic);"A Let 410 cargo plane, registration 9Q-CIF, was damaged beyond repair in an accident at Mont Biega, D.R. Congo. Both crew members were killed.
The airplane operated on a cargo flight from Bukavu-Kavumu Airport (BKY) to Lusenge.";ca 16:15;Let L-410UVP;African Air Services Commuter;Monday 14 February 2011
2-feb-00;Lockheed C-130 Hercules;;Iran AF;Tehran-Mehra...;;Fatalities:  / Occupants:;Fatalities:  / Occupants:;Damaged beyond repair;Takeoff (TOF);Military;Tehran-Mehrabad Airport (THR/OIII), Iran;Hamadan Air Base (OIHS), Iran;"The crew of a Lockheed C-130 Hercules transport plane operated by Iranian Air Force lost directional control during takeoff from runway 29R at Tehran-Mehrabad Airport (THR), Iran.
The aircraft impacted a Iran Air Airbus A300B2-203 (EP-IBR) which was being towed to a hangar. Both aircraft were destroyed by fire.";10:30;Lockheed C-130 Hercules;Islamic Republic of Iran Air Force - IRIAF;Wednesday 2 February 2000
31-MAY-2017;Boeing 737-33A;PK-CJC;Sriwijaya Air;Manokwari-Re...;1988-05-17  (29 years );Fatalities: 0 / Occupants: 6;Fatalities: 0 / Occupants: 146;Substantial;Landing (LDG);Domestic Scheduled Passenger;Sorong-Dominique Edward Osok Airport (SOQ/WAXX), Indonesia;Manokwari-Rendani Airport (MKW/WAUU), Indonesia;"Sriwijaya Air flight SJ570 was a scheduled passenger flight from Makassar-Hasanuddin Airport, South Sulawesi, Indonesia to Manokwari-Rendani Airport, West Papua, Indonesia with one transit stop at Sorong-Domine Eduard Osok Airport, West Papua. The flight was uneventful since the first departure from Makassar until commencing the approach at Manokwari.
At 08:15 hours local time, the aircraft departed Sorong to Manokwari. On board were two pilots, four flight attendants and 146 passengers. On this flight, the Second in Command (SIC) acted as Pilot Flying (PF) and the Pilot in Command (PIC) acted as Pilot Monitoring (PM).
At 08:31, the pilot made first contact with the Rendani Tower controller and informed that the aircraft was descending from FL230 and requested weather information. The Rendani Tower controller informed the pilot that the wind was calm, ground visibility 6 km, cloud FEW CB 1,400 feet, temperature and dew point 26/25°C.
At 08:36, Rendani Tower instructed to the pilot to descend to 11,000 feet and to report when on Visual Meteorological Conditions (VMC).
At 08:38, the pilot informed that they were in VMC and passing altitude 13,000 feet at 32 NM from the ZQ NDB (Non-Directional Beacon).
The Rendani Tower controller instructed to fly overhead, descend to circuit altitude, join right downwind runway 35, and to report when overhead Manokwari.
At 08:44, the pilot reported that the aircraft was over Manokwari and the Tower controller informed the pilot that the visibility had changed to 5 km. Two minutes later Rendani Tower instructed the pilot to continue approach and to report on right base runway 35.
At 08:49, at approximately 600 feet, the PIC as PM took over control by called ""I have control"" and the SIC replied ""You have control"". A few seconds later the pilot reported that the aircraft was on final runway 35, and Rendani Tower instructed to the pilot to report when the runway 35 in sight. The pilot immediately replied that the runway was in sight, which was acknowledged by Rendani Tower who then issued landing clearance with additional information that the wind was calm and the runway condition wet.
At approximately 550 feet, the PIC instructed the SIC turn on the wiper and reconfirmed to SIC that the runway was in sight. Between altitude 500 feet to 200 feet, the EGPWS aural warnings ""Sink Rate"" and ""Pull Up"" sounded.
At 08:50, the aircraft touched down on runway 35. The spoilers deployed and the pilot activated the thrust reversers. The crew did not feel significant deceleration.
The aircraft failed to stop on the runway and overran by approximately 20 meters from the end of runway pavement. After the aircraft stopped, the PIC commanded ""Evacuate"" through the Passenger Address (PA) system. The Rendani Tower Controller saw that the aircraft had overrun, activated the crash bell and then informed the Airport Rescue and Fire Fighting (ARFF) that there was an aircraft overrun after landing on runway 35.
All the flight crew and passengers evacuated the aircraft and transported to the terminal building safely.
The aircraft sustained serious damage on the nose landing gear, nose section lower fuselage, and both engine fan blades.";08:51;Boeing 737-33A;Sriwijaya Air;Wednesday 31 May 2017
09-MAR-2002;Canadair CRJ-200ER;N622BR;United Express, opb Atlantic Coast Airlines;Washington-D...;;Fatalities: 0 / Occupants: 3;Fatalities: 0 / Occupants: 50;Substantial;Takeoff (TOF);Domestic Scheduled Passenger;Washington-Dulles International Airport, DC (IAD/KIAD), United States of America;New York-La Guardia Airport, NY (LGA/KLGA), United States of America;"A CRJ-200ER, N622BR, operating as Atlantic Coast Airlines (ACA) flight 7682, struck two wild turkeys while initiating a takeoff from runway 30 at Washington Dulles International Airport (IAD). None of the 3 crewmembers or 50 passengers on board was injured. The airplane sustained damage to the number-two engine inlet, the first officer's windshield, and a 14- by 4-inch section of fuselage skin just below the windshield seal on the first officer's side. 
The captain reported that the airplane was on departure roll and had accelerated past 80 knots when a flock of birds began to fly south over the runway. The airplane was traveling at approximately 110 knots when one of the birds hit the airplane, cracking the first officer's windshield and causing a few shards of glass to fall into the cockpit and onto the first officer. The captain immediately rejected the takeoff and stopped on the runway to assess the damage. 

A postflight inspection by maintenance personnel revealed that the airplane had struck two wild turkeys. One turkey hit the intake of the number-two engine, slightly damaging the forward lip of the engine intake cowl. No bird remains went through the engine. The other turkey hit just below the first officer's windshield, where a turkey leg and foot were still lodged. Closer examination of the airplane revealed that the second turkey hit the nose sheet metal at the base of the first officer's windshield, bending the windshield support structure and causing the windshield to crack upward from that location. The second turkey penetrated the area beneath the lower support structure, went through the pressure bulkhead, and entered the back of the instrument panel but did not penetrate either the windshield or its supporting structure.";10:15;Canadair CL-600-2B19 Regional Jet CRJ-200ER;null;Saturday 9 March 2002
25-MAY-2000;Shorts 330-200;G-SSWN;Streamline Aviation;Paris-Charle...;1981;Fatalities: 1 / Occupants: 2;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Takeoff (TOF);Cargo;Paris-Charles de Gaulle Airport (CDG/LFPG), France;London-Luton Airport (LTN/EGGW), United Kingdom;"Shorts 330 G-SSWN was operating on a mail flight (Streamline 200) to Luton. The crew were cleared to depart cargo stand N51 and proceed to runway 27 at 02:38. Around the same time Air Liberté Flight 8807 (an MD-83, F-GHED) also taxied to runway 27 for a flight to Madrid. At 02:44 the Charles de Gaulle ground controller asked Streamline 200 if they wished to enter runway 27 at an intermediate taxiway; the crew asked for and were granted to enter Taxiway 16. At 02:50:49 the tower controller cleared the MD-83 for takeoff: ""Liberté 8807, autorisé au décollage 27, 230°, 10 à 15 kts."". The controller then immediately told the Shorts to line up and wait: ""Stream Line two hundred line up runway 27 and wait, number two"". As the MD-83 was travelling down the runway, the Shorts started to taxi onto the runway. At a speed of about 155 knots the left wing of MD-83 slashed through the cockpit of the Shorts plane; the MD-83 abandoned takeoff.";02:52;Shorts 330-200;Streamline Aviation;Thursday 25 May 2000
27-feb-03;Aérospatiale / BAC Concorde 101;F-BVFA;Air France;near Atlantic Ocean;1975;Fatalities: 0 / Occupants: 6;Fatalities: 0 / Occupants: 39;Minor;En route (ENR);International Scheduled Passenger;Paris-Charles de Gaulle Airport (CDG/LFPG), France;New York-John F. Kennedy International Airport, NY (JFK/KJFK), United States of America;"The airplane was climbing over international waters, and as it neared its cruise altitude, the flight crew felt a ""bump."" A check of the instruments revealed no problems, and the flight crew made a decision to continue with the flight. After landing at JFK, and taxiing to the gate, another pilot reported a portion of the rudder was missing.";null;Aérospatiale / BAC Concorde 101;Air France;Thursday 27 February 2003
30-MAR-2002;Beech B200C Super King Air;C-GIND;Voyageur Airways;Thunder Bay ...;1981;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 0;Substantial;Landing (LDG);Domestic Scheduled Passenger;Poplar Hill Airport, ON (YHP), Canada;Thunder Bay Airport, ON (YQT/CYQT), Canada;The Beechcraft B200C Super King Air, C-GIND operated by Voyageur Airways as flight VAL795, was landing on runway 12 at Thunder Bay Airport, ON (YQT). On touchdown, the pilot-not-flying inadvertently raised the landing gear handle instead of moving the propeller controls to full fine. The landing gear warning horn sounded and the aircraft began to descend further. The pilot-flying carried out a go around, and the crew climbed the aircraft to a safe altitude to assess the situation. While circling north of the airport, the crew lowered the landing gear and determined the left main gear indicated unsafe. The emergency gear lowering procedure was carried out, and the crew visually confirmed the left main gear was extended although it was still indicating unsafe. The crew declared an emergency, and landed on runway 12. On touchdown the left main gear collapsed, and the aircraft came to a stop slightly left of the runway centreline. There were no injuries, and the aircraft sustained substantial damage to the flaps, landing gear, and left propeller.;05:43;Beechcraft B200C Super King Air;Voyageur Airways;Saturday 30 March 2002
28-jan-14;Saab 2000;HB-IZG;Darwin Airline, op.for Etihad Regional;Paris-Charle...;1994-12-02  (19 years 2 months);Fatalities: 0 / Occupants: 3;Fatalities: 0 / Occupants: 16;Substantial;Landing (LDG);International Scheduled Passenger;Leipzig Airport (LEJ/EDDP), Germany;Paris-Charles de Gaulle Airport (CDG/LFPG), France;"A Saab 2000 of Darwin Airline/Etihad Regional suffered a hard landing accident at Paris-CDG, France. There were no personal injuries on the 3 crew and 16 passengers on board.
Flight F7-250 had departed Leipzig Airport (LEJ), Germany on a scheduled service to Paris-CDG. The copilot was the Pilot Flying (PF) while the captain was Pilot Monitoring (PM).
The flight was cleared to perform an ILS approach to runway 27R. The aircraft intercepted the glide slope at 07:25. 
The tower controller then cleared the flight to land and reported wind from 200° at 12 kt. 
The captain again advises the OPL by reminding him when to set up the aircraft for landing.
At an altitude of 2,300 ft the landing configuration was set (20° flap) and the approach target speed of 123 kt was selected.  At a height of 1000 ft, the approach was stable and the runway was in sight. At a height of about 400 ft, the PF disconnected the autopilot and at 200 ft, the decision height, the crew decided to continue the approach.
Passing 50 ft, the PF gradually returned the power levers to the ""flight idle"" position and initiated the flare. Shortly before touchdown the captain pulled on the control column to the maximum nose-up value (11°) and the attitude reached a value of 5°. The wheels of the main landing gear hit the ground hard, and the airplane was at an indicated speed of about 120 kt. The airplane then bounced. The copilot then pushed the control column forward, causing a nose down attitude. De PM then again pulled on the controls and the aircraft bounced a second time.
The PM increased power which was immediately reduced by the PF. The nose landing gear of the aircraft then impacted the runway and collapsed.";07:31;Saab 2000;null;Tuesday 28 January 2014
27-apr-10;Beech 200 Super King Air;F-GLIF;Trans Hélicoptère Service;Arlit Airpor...;1974;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 8;Substantial;Landing (LDG);Private;Niamey Airport (NIM/DRRN), Niger;Arlit Airport (RLT/DRZL), Niger;"The Beechcraft 200 Super King Air landed short of the runway at Arlit, Niger. The undercarriage collapsed and the airplane slid onto the runway before coming to rest.
A storm was approaching at the time of the accident. Visibility was limited due to blowing sand.";18:30;Beechcraft 200 Super King Air;Trans Hélicoptère Service - THS;Tuesday 27 April 2010
12-feb-02;Hawker Siddeley HS-125-400B;ZS-JBA;J & D Aviation CC;Lanseria Air...;1971;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 2;Damaged beyond repair;Standing (STD);Int'l Non Scheduled Passenger;Lanseria Airport (HLA/FALA), South Africa;Blantyre-Chileka Airport (BLZ/FWCL), Malawi;"The HS-125-400B aircraft was parked on the international departures apron at Lanseria Airport, South Africa ready for a flight to Blantyre, Malawi.
The pilot assumed that the engineer had pressurised the hydraulic accumulator and therefore did not inspect it himself. When the passengers arrived, the pilot got in the aircraft and began the internal pre-start checks. The co-pilot removed the chocks after boarding the passengers, closed the door and then started to brief the passengers.
At that moment the pilot noticed that the aircraft was rolling forward. Attempts to stop the aircraft were unsuccessful, the aircraft rolled forward, narrowly missed a hangar and a parked Bell 206L LongRanger helicopter next to the hangar, crossed the taxiway and finally stopped when entering a ditch between the taxiway and the runway.";06:00 UTC;Hawker Siddeley HS-125-400B;J & D Aviation CC;Tuesday 12 February 2002
